,Name,Street,City,State
336,CHINOE PUB,1050 -C  E CHINOE RD,Lexington,Kentucky
338,CHIPOTLE MEXICAN GRILL #2429,"3565 NICHOLASVILLE RD, STE 935",Lexington,Kentucky
339,CHIPOTLE MEXICAN GRILL #572,2905 RICHMOND ROAD,Lexington,Kentucky
340,CHIPOTLE MEXICAN GRILL OF CO,345 SOUTH LIMESTONE,Lexington,Kentucky
344,CHOCOLATE HOLLER,"400 OLD VINE STREET, SUITE 104",Lexington,Kentucky
347,CHOP HOUSE,2640 RICHMOND RD,Lexington,Kentucky
349,CHRIST CHURCH CATHEDRAL,166 MARKET ST,Lexington,Kentucky
350,CHRIST THE KING SCHOOL,412 COCHRAN RD,Lexington,Kentucky
351,CHRYSALIS COMMUNITY CENTER,1589 HILL  RISE DRIVE,Lexington,Kentucky
352,CHRYSALIS HOUSE,251 E MAXWELL ST,Lexington,Kentucky
354,CHRYSALIS HOUSE FAMILY PROGRAM,1588 HILL RISE DR,Lexington,Kentucky
355,"CHRYSALIS HOUSE, INC",1374 BULL LEA LANE,Lexington,Kentucky
356,CHRYSALIS HOUSE/FAMILY PROGRAM,120 CHRYSALIS CT,Lexington,Kentucky
357,CHUCK E CHEESE,1555 NEW CIRCLE RD,Lexington,Kentucky
359,CHURCH OF THE GOOD SHEPHERD,533 E MAIN ST,Lexington,Kentucky
361,CHURRERIA LA CONEJA & ANTOJITOS MEXICANOS,895 N.  BROADWAY,Lexington,Kentucky
363,CHUY'S LEXINGTON,3841 NICHOLASVILLE CENTER ROAD,Lexington,Kentucky
365,CINCO DE MAYO,122 W. MAXWELL ST.,Lexington,Kentucky
367,"CINCO DE MAYO OF LEXINGTON 2, INC","3031 RICHMOND RD., STE 120",Lexington,Kentucky
369,"CINEMARK USA, INC. (FAYETTE MALL)",3800 MALL ROAD,Lexington,Kentucky
370,CIRCLE K #3211,3470 RICHMOND ROAD,Lexington,Kentucky
372,CIRCLE K #3212,1396 LEESTOWN ROAD,Lexington,Kentucky
376,CIRCLE K #3214,3469 BUCKHORN DR,Lexington,Kentucky
378,CIRCLE K #3302,3130 PIMLICO PARKWAY,Lexington,Kentucky
380,CITGO FOOD MART,705 LOUDON AVENUE,Lexington,Kentucky
386,CITY BARBEQUE,2187 HARRODSBURG RD,Lexington,Kentucky
387,CITY BBQ,3292 RICHMOND RD.,Lexington,Kentucky
388,CITY CENTER STARBUCKS,101 S. LIMESTONE ST.,Lexington,Kentucky
389,CLAMATO'S,2304 VERSAILLES RD,Lexington,Kentucky
391,CLARION HOTEL,1950 NEWTOWN PIKE,Lexington,Kentucky
393,CLARKS PUMP & SHOP #36/CHEVRON,1971 N BROADWAY,Lexington,Kentucky
395,CLARK'S PUMP N SHOP #44,313 NW NEW CIRCLE RD,Lexington,Kentucky
403,CLARK'S PUMP-A-SHOP,922 DETROIT AVE,Lexington,Kentucky
405,CLARK'S PUMP-N-SHOP,1419 VERSAILLES RD,Lexington,Kentucky
407,CLAYS MILL ELEMENTARY SCHOOL,2319 CLAYS MILL RD,Lexington,Kentucky
408,COCINA EL SABOR JAROCHO,1416 VILLAGE DR.,Lexington,Kentucky
409,COCKTAILS BAR & GRILL,3090 TODDS RD #150,Lexington,Kentucky
410,"COCKTAILS OF LEXINGTON II, LLC",130 W TIVERTON WAY #195,Lexington,Kentucky
412,COFFEA,383 ROSE STREET,Lexington,Kentucky
414,COFFEE HOUSE DBA MINTON'S CAFE,760 N. LIMESTONE,Lexington,Kentucky
